OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1399	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	6	4	2	2	1	0	16	0	0	1	1	0	1
ASV_1496	0	0	1	1	0	0	0	2	2	1	1	4	0	0	0	2	1	0	0	2	1	3	0	1	0	0	1	0	1	0	2	2	2	0	1	3	0	1	0	2	0	1	0	1	1
ASV_1568	4	0	0	2	1	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	1	1	3	3	0	6	3	1	3	1	0	1	0
ASV_1190	1	0	0	0	0	0	0	2	1	0	1	1	1	0	0	1	0	2	0	1	1	0	0	1	2	1	1	1	1	1	2	2	1	2	0	0	2	0	1	0	0	2	2	2	3
ASV_1194	1	1	1	0	2	0	0	1	5	0	1	2	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	2	0	0	2	1	0	2	3	1	0	1	1	1	0	1
ASV_1221	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	3	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	5	1	2	4	0	1	6	0	3
ASV_1289	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	5	1	0	2	5	3	1	3	3	1	0	2	0	2	0
ASV_1291	0	0	0	0	0	0	0	2	0	0	1	0	1	3	1	0	3	1	2	0	1	0	1	0	1	2	2	0	6	5	1	0	0	0	0	1	0	0	2	1	1	1	0	0	0
ASV_1303	1	1	1	0	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	4	1	0	1	0	0	3	0	0	0	1	1	0	0	1	1	3	3	0	3	0	2	1	5
ASV_1310	0	2	2	1	0	0	1	1	0	0	3	0	0	0	5	0	1	0	0	0	0	0	2	1	1	1	0	2	0	1	2	0	0	1	0	5	2	1	0	1	1	0	2	0	0
ASV_1326	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	4	1	3	1	0	0	8	2	1	12
ASV_1532	4	2	1	2	9	2	2	0	0	2	2	0	1	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0
ASV_1603	0	1	2	2	0	2	1	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	1	3	0	0	2	1	0	0	0	0	3	1	0	2	1	1	0	5	1	1	1	2	1
ASV_1239	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	1	11	1	2	2	0
ASV_1257	0	0	11	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1259	0	0	0	0	0	5	7	0	1	0	0	0	0	0	0	0	0	6	3	6	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1309	0	2	5	1	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	3	0	0	1	0	0	0	1
ASV_1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	2	0	0	1	13	1	0	11	3	0	1
ASV_1438	2	1	0	1	2	0	0	2	0	3	1	0	0	1	0	2	0	0	0	1	0	2	3	2	2	0	0	0	1	0	1	0	2	0	2	0	1	0	1	0	1	1	1	0	2
ASV_1485	0	1	1	0	2	1	0	3	1	3	0	0	0	0	1	3	0	0	1	1	0	2	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	3	2	2	0	1	1	1	1
ASV_1530	3	1	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	9	1	0	0	0	0	0	0	0	1	0	1	2	1	1	1	3	3	2	1	0	0	0	0
ASV_1558	0	0	0	0	0	3	2	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	10	0	0	0
ASV_1338	0	0	1	1	1	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	1	0	0	2	0	10	0	3	0	1	3
ASV_1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	19	0	1	5	3	1	1	1	2	0	0	1	0
