OTUID	All	HDC	MDC	NCC
ASV_199	0.045319	0.02306178	0.05189497	0.06100026
ASV_257	0.044625	0.08309572	0.03272556	0.01805364
ASV_1479	0.045993	0.014210699	0.120605910	0.003163528
ASV_380	0.044455	0.03073014	0.05336852	0.04926730
ASV_354	0.043959	0.024453771	0.004779793	0.102643422
ASV_337	0.044906	0.058672462	0.004225411	0.071820553
ASV_1652	0.045516	0.082452418	0.050962672	0.003133284
ASV_664	0.04269	0.009873333	0.112005193	0.006190154
ASV_626	0.043648	0.003849135	0.018778539	0.108315972
ASV_387	0.043563	0.04422305	0.03058322	0.05588330
ASV_494	0.044335	0.04319117	0.03836442	0.05144895
ASV_1550	0.043668	0.05076976	0.05794145	0.02229299
ASV_1552	0.042734	0.04369967	0.04293949	0.04156412
ASV_378	0.042272	0.05248947	0.06259714	0.01173057
ASV_535	0.041606	0.01549805	0.06298063	0.04633915
ASV_625	0.042024	0.0236769693	0.1017835265	0.0006123286
ASV_36	0.041336	0.03765920	0.03793285	0.04841516
ASV_1337	0.039945	0.075286606	0.041439191	0.003110199
ASV_134	0.041389	0.100011284	0.007920577	0.016234964
ASV_766	0.040335	0.05591799	0.05275353	0.01233414
ASV_273	0.040595	0.03360391	0.03329095	0.05488867
ASV_867	0.041159	0.080611969	0.039756537	0.003107812
ASV_268	0.039895	0.03873937	0.06734247	0.01360258
ASV_629	0.040159	0.08290387	0.01749805	0.02007530
ASV_282	0.039324	0.001228570	0.000571618	0.116171929
ASV_442	0.039455	0.005413160	0.006278117	0.106674078
ASV_564	0.040128	0.06613218	0.01989419	0.03435864
ASV_403	0.038266	0.012030392	0.098464967	0.004302225
ASV_350	0.039218	0.005016812	0.006295353	0.106340783
ASV_295	0.038386	0.00000000	0.01443656	0.10072126
ASV_485	0.039611	0.0196165032	0.0986052979	0.0006123286
ASV_959	0.03894	0.059535063	0.055399051	0.001885542
ASV_697	0.03824	0.05909605	0.04512798	0.01049477
ASV_142	0.0379	0.081897050	0.007637883	0.024164992
ASV_270	0.037138	0.04293045	0.05622461	0.01226011
ASV_1077	0.039108	0.108434955	0.006388435	0.002500257
ASV_612	0.037183	0.002376994	0.096166049	0.013004569
ASV_1486	0.037161	0.080926762	0.028080877	0.002474786
