#OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1005	6	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	2	2	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	2	4	0	0	0	10	11	1
ASV_1174	0	0	0	0	0	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0
ASV_1212	3	2	4	8	1	3	3	0	0	1	0	2	1	2	1	0	0	0	0	0	0	2	1	0	0	0	2	1	0	2	1	0	0	0	0	2	0	0	3	1	0	0	1	0	1	1	4
ASV_1228	0	0	0	0	0	0	32	8	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	1
ASV_1409	0	0	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	0	0	0
ASV_1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1017	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	7	1	3	10	3	1	3	7	7	0
ASV_1189	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	3	0	0	0	26	2	0	4	0
ASV_1466	0	0	0	6	0	0	9	2	3	5	1	7	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
ASV_931	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	7	0	0	0
ASV_1050	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_1299	2	1	0	0	1	3	0	2	1	1	0	1	0	0	1	1	0	1	1	0	2	0	0	0	1	0	1	0	0	0	1	1	3	2	0	3	1	1	0	0	0	2	1	7	0	7	2
ASV_1472	1	0	2	0	0	2	0	0	1	1	1	2	0	1	0	0	2	1	1	5	0	1	4	3	1	1	2	4	1	2	0	0	0	2	0	4	0	2	1	0	0	0	0	0	0	2	1
ASV_1047	0	0	3	0	0	5	8	2	0	0	0	0	0	0	2	0	0	5	1	2	3	0	8	0	0	0	2	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1073	1	14	0	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	1	0	0	0	0	0	1	0	0	4	0	1
