orig_model	model	color	OTU	X1	X2
252	6	model_6	#FEE695	ASV_299	6.92214285408729	-23.7666929329863
253	7	model_7	#FEF6B1	ASV_330	7.69955229194816	14.3298532554544
254	12	model_12	#50A9AF	ASV_296	3.39315510874702	-14.5083558744538
255	71	mini_model	#C1C1C1	ASV_1400	-23.5194202385152	-7.54042748088875
256	18	model_18	#F8FCB4	ASV_282	-6.6137029549873	-22.884721471436
257	4	model_4	#BA2148	ASV_431	-9.18187096043834	-5.17723677616093
258	91	mini_model	#C1C1C1	ASV_325	-22.101137796108	7.22556521662343
259	16	mini_model	#C1C1C1	ASV_396	-23.8876431857725	-3.58256811525365
260	3	model_3	#F47346	ASV_316	15.3344449553982	-13.4964784090641
261	73	mini_model	#C1C1C1	ASV_378	12.3418672859458	-10.6626212668945
262	4	model_4	#BA2148	ASV_359	-4.71398053268029	-1.60083162208258
263	5	model_5	#D6404E	ASV_321	-11.4947532335575	-1.04189079495448
264	32	model_32	#466DB0	ASV_327	-2.82663201947505	-12.0373439270653
265	62	mini_model	#C1C1C1	ASV_387	5.80235169737719	-19.6899535287503
266	28	model_28	#EBF7A0	ASV_544	1.03862997445065	-18.9278391035639
267	4	model_4	#BA2148	ASV_308	-1.78972201840963	-0.40508555109461
268	6	model_6	#FEE695	ASV_311	9.97662989775816	-23.5433648082171
269	1	model_1	#9E0142	ASV_380	-9.15527862783377	9.33843035518329
270	64	mini_model	#C1C1C1	ASV_367	-10.720602916202	-11.1112177905486
271	3	model_3	#F47346	ASV_1477	14.4503934397434	-15.0685528531468
272	86	mini_model	#C1C1C1	ASV_340	12.3777173087428	6.57734249830671
273	61	mini_model	#C1C1C1	ASV_530	2.65997323741809	16.9505101645597
274	2	model_2	#E65948	ASV_1399	2.79741597567366	-22.8052087095964
275	58	model_58	#FDD07D	ASV_421	18.4560928720139	0.0136748237698119
276	6	model_6	#FEE695	ASV_370	10.5177868581804	-20.9139206400178
277	51	mini_model	#C1C1C1	ASV_363	3.42089146251504	-11.0942107163003
278	4	model_4	#BA2148	ASV_409	-4.94096934738409	-1.57002284955597
279	78	mini_model	#C1C1C1	ASV_319	4.74670773772565	-24.7455625919099
280	12	model_12	#50A9AF	ASV_360	6.76832227783459	-17.1310130439479
281	3	model_3	#F47346	ASV_345	17.9180103066688	-9.74160450284573
282	5	model_5	#D6404E	ASV_423	-12.6532616744486	-1.16276800789126
283	7	model_7	#FEF6B1	ASV_334	8.47321028447788	13.8472696980086
284	39	mini_model	#C1C1C1	ASV_379	-13.8271257825947	-10.4255383855875
285	4	model_4	#BA2148	ASV_393	-5.24928276894995	1.70995574145465
286	3	model_3	#F47346	ASV_352	17.4892719393226	-12.209555788741
287	82	model_82	#B4E0A2	ASV_410	-18.4079865379425	-15.4328897765918
288	2	model_2	#E65948	ASV_348	1.85482591408984	-26.0997049570868
289	18	model_18	#F8FCB4	ASV_320	-7.78650953679558	-22.2806989680615
290	63	mini_model	#C1C1C1	ASV_404	4.9772699912974	-22.3670074332202
291	35	mini_model	#C1C1C1	ASV_482	12.1189821865873	-6.96038266522534
292	63	mini_model	#C1C1C1	ASV_347	4.45196115311479	-21.7201957246112
293	2	model_2	#E65948	ASV_355	0.208865976881327	-23.0309771193493
294	1	model_1	#9E0142	ASV_466	-15.5824119239282	6.24860481760284
295	64	mini_model	#C1C1C1	ASV_361	-11.4454728031837	-11.7206777692299
296	7	model_7	#FEF6B1	ASV_344	9.24061156584898	17.2257852680045
297	4	model_4	#BA2148	ASV_415	-4.13028725618505	-1.46791804838392
298	74	mini_model	#C1C1C1	ASV_358	10.8532864156442	-4.89614896919803
299	50	mini_model	#C1C1C1	ASV_384	-15.614151024566	-13.6416868198612
300	1	model_1	#9E0142	ASV_342	-11.9870640740869	9.80212338487911
301	18	model_18	#F8FCB4	ASV_369	-4.04845193574237	-26.2351198962108
302	32	model_32	#466DB0	ASV_390	-2.77893671945006	-13.0616103228305
303	79	model_79	#F99655	ASV_488	18.011073458422	-3.97650914958634
304	20	mini_model	#C1C1C1	ASV_405	16.9669696693002	-17.4780684259115
305	86	mini_model	#C1C1C1	ASV_381	13.0303359904025	5.67902962248655
306	79	model_79	#F99655	ASV_437	17.036286319223	-3.55673897032782
307	1	model_1	#9E0142	ASV_412	-8.57558999327428	10.021801994769
308	80	mini_model	#C1C1C1	ASV_1254	9.56346824797449	7.37939506417274
309	21	mini_model	#C1C1C1	ASV_507	9.63804266860018	-8.70479139782384
310	82	model_82	#B4E0A2	ASV_442	-18.8594330135756	-15.9811132544737
311	54	mini_model	#C1C1C1	ASV_382	-13.105665499957	-13.7925880567138
312	1	model_1	#9E0142	ASV_445	-15.9867502040361	7.08525163569223
313	25	mini_model	#C1C1C1	ASV_1468	15.9166652251345	10.0284138685541
314	4	model_4	#BA2148	ASV_395	-6.87713696510974	0.584273045304962
315	5	model_5	#D6404E	ASV_422	-8.00338335316066	-0.0515696036169558
316	4	model_4	#BA2148	ASV_424	-2.14584741431544	0.408671455500916
317	22	mini_model	#C1C1C1	ASV_457	-13.3970742843758	-21.8398581770039
318	3	model_3	#F47346	ASV_376	19.9554561600775	-10.4407902075149
319	76	mini_model	#C1C1C1	ASV_425	-20.8913270607526	-5.55615345675895
320	88	mini_model	#C1C1C1	ASV_1280	7.79884815769517	4.26235578067357
321	3	model_3	#F47346	ASV_468	14.2502818271222	-11.2136028024887
322	3	model_3	#F47346	ASV_389	20.9208662962438	-8.82682760626737
323	1	model_1	#9E0142	ASV_403	-15.6486396052248	6.69044983393503
324	7	model_7	#FEF6B1	ASV_385	6.38524717971609	17.4826759477363
325	59	mini_model	#C1C1C1	ASV_353	-10.5123965260503	-13.4349534743824
326	56	mini_model	#C1C1C1	ASV_477	-22.6711047584408	-5.73516353426746
327	1	model_1	#9E0142	ASV_401	-14.9077769218437	6.44275729146394
328	8	model_8	#D3ED9B	ASV_742	8.68722688445556	-14.0122634185587
329	5	model_5	#D6404E	ASV_399	-20.1894625630741	1.41739340700899
330	4	model_4	#BA2148	ASV_416	-3.24804925064545	3.1972509358997
331	58	model_58	#FDD07D	ASV_394	20.089891102421	2.54896009753475
332	2	model_2	#E65948	ASV_513	-2.52588115152721	-23.7775678341219
333	1	model_1	#9E0142	ASV_419	-9.27752770809463	9.6200619181754
