ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_552	0.935	14	0.284070770685359	0.336862683821577	NotSig	0.31	0.162	0.023	0.019	0.297	0.356	0.401	0.401	1.639	0.285	0.048	0.083	0.126	0.047	0.057	0.128	0.171	0.123	0.167	0.151	0.154	0.487	0.144	0.177	0.125	0.063
ASV_164	0.189	12.165	0.590183959843142	0.636785524492605	NotSig	0.21	0.184	0.203	0.255	0.353	0.163	0.269	0.109	0.459	0.089	0.15	0.161	0.147	0.157	0.087	0.456	0.066	0.194	0.232	0.27	0.104	0.145	0.109	0.335	0.042	0.167
ASV_112	-6.661	13.993	0.00692729116462546	0.0185651403211962	Depleted	0.005	0.546	0.009	0.007	0.007	0.003	0.017	0	0	0	0.008	0.002	0	0.012	0.274	0.808	0.01	0.015	0.237	0.331	0.888	0.516	0.025	0.264	1.631	1.557
ASV_133	-5.137	14.506	0.123190428039367	0.158726128435339	NotSig	0.009	0.329	0.012	0.009	0.009	0.008	0.01	0.004	0.006	0	0.01	0.011	0.02	0.012	0.64	0.013	0.01	2.327	0.01	0.019	0.48	0.005	0.22	0.2	0.003	0.025
ASV_98	-4.651	12.802	0.0117127871785174	0.0261585580320223	Depleted	0.01	0.259	0.009	0.005	0.002	0.008	0	0	0	0.008	0.05	0.009	0.025	0.007	0.25	0.003	0.01	0.673	0.032	0.003	0.714	0.347	0.01	0.096	0.681	0.294
ASV_275	2.948	13.801	0.00411403162044963	0.0137820059285062	Enriched	0.49	0.063	0.088	0.142	0.293	0.728	0.219	0.816	0.543	0.858	0.514	1.428	0.102	0.15	0.083	0.028	0.032	0.113	0.072	0.199	0.113	0.029	0.033	0.02	0.012	0.029
ASV_110	-2.071	12.663	0.0106312714948621	0.025524929634084	Depleted	0.056	0.236	0.032	0.002	0.016	0.052	0.056	0.051	0.176	0.041	0.115	0.041	0.045	0.045	0.014	0.238	0.186	0.368	0.017	0.334	0.106	0.456	0.015	0.091	0.361	0.648
ASV_87	-2.545	13.44	0.0513446988806447	0.0759823043355364	NotSig	0.041	0.241	0.005	0.002	0.005	0.063	0.033	0.009	0.174	0.012	0.15	0.017	0.016	0.01	0.05	0.035	0.173	0.051	0.037	0.185	0.311	0.492	0.058	0.025	1.111	0.368
ASV_124	3.322	13.463	0.000126116946535224	0.00170065166065122	Enriched	0.564	0.056	0.479	0.203	0.311	0.334	0.69	0.582	0.35	0.309	0.78	1.129	1.125	0.481	0.017	0.005	0.022	0.038	0.025	0.095	0.101	0.287	0.02	0.002	0.03	0.034
ASV_99	-5.246	13.626	0.0160835258715158	0.0326544313148956	Depleted	0.01	0.364	0.012	0.012	0.012	0.006	0.017	0.013	0.003	0.008	0.013	0.007	0.005	0.01	0.014	0.033	0.027	0.307	0.027	0.122	0.893	1.264	0.038	0.153	0.774	0.712
ASV_118	6.441	14.766	0.0222879426647916	0.0409121139326312	Enriched	0.764	0.009	0.12	0.35	1.345	2.705	0.391	0.346	0.49	2.785	0.171	0.028	0.305	0.135	0.012	0.003	0.005	0.01	0.01	0.016	0.007	0.01	0.008	0.002	0.003	0.02
ASV_97	-0.726	11.966	0.135878043614679	0.170165026582869	NotSig	0.101	0.167	0.129	0.033	0.028	0.041	0.335	0.096	0.05	0.069	0.148	0.098	0.106	0.08	0.078	0.075	0.071	0.189	0.085	0.4	0.142	0.116	0.073	0.394	0.266	0.117
ASV_105	7.778	15.327	0.0670132727182229	0.0897977854424187	NotSig	0.741	0.003	0.355	0.523	2.504	0.008	4.109	0.138	0.017	0.439	0.283	0.011	0.215	0.289	0	0	0.002	0.005	0.002	0.019	0	0.01	0	0	0	0.002
ASV_96	-2.983	12.497	0.000899233350109064	0.00523901169193977	Depleted	0.028	0.225	0.104	0.035	0.007	0	0.02	0.029	0.003	0.004	0.035	0.026	0.063	0.015	0.073	0.15	0.161	0.176	0.127	0.257	0.471	0.092	0.578	0.217	0.242	0.154
ASV_137	-1.155	12.512	0.0326362964810089	0.0533324844933561	Depleted	0.088	0.196	0.014	0.021	0.107	0.058	0.083	0.163	0.109	0.053	0.12	0.144	0.095	0.09	0.236	0.073	0.132	0.038	0.279	0.146	0.292	0.584	0.086	0.123	0.099	0.264
ASV_143	0.706	12.715	0.105239827571242	0.138256244064181	NotSig	0.232	0.142	0.113	0.092	0.137	0.13	0.219	0.234	0.672	0.216	0.188	0.44	0.156	0.192	0.227	0.183	0.051	0.069	0.077	0.064	0.121	0.275	0.205	0.185	0.093	0.16
ASV_115	0.417	12.722	0.435173336675163	0.481927496813817	NotSig	0.209	0.157	0.048	0.033	0.139	0.108	0.206	0.212	0.305	0.094	0.286	0.676	0.258	0.147	0.255	0.01	0.049	0.12	0.05	0.17	0.307	0.528	0.035	0.02	0.14	0.197
ASV_129	-1.096	11.767	0.00645506636696313	0.0184038062377247	Depleted	0.09	0.192	0.124	0.196	0.072	0.03	0.126	0.025	0.045	0.167	0.083	0.009	0.041	0.16	0.087	0.349	0.239	0.087	0.169	0.284	0.331	0.14	0.137	0.121	0.266	0.093
ASV_1446	-1.686	11.907	0.00016114310032137	0.00171845382601773	Depleted	0.07	0.224	0.046	0.028	0.072	0.039	0.05	0.091	0.151	0.028	0.09	0.089	0.095	0.055	0.352	0.334	0.09	0.271	0.167	0.082	0.198	0.152	0.233	0.177	0.248	0.384
ASV_122	-2.054	12.457	0.0259397431890947	0.0445631485556242	Depleted	0.051	0.214	0.012	0	0.002	0.003	0.007	0.007	0.008	0.004	0.008	0.002	0.562	0.002	0.068	0.008	0.034	0.008	0.197	0.249	0.217	0.504	0.18	0.286	0.502	0.31
